,,,,,Totals,,,,,,,,,Shooting,,,,Advanced,,
150,Norchad Omier,JR,F,Miami (FL),31,948,309,38,47,24,72,91,528,0.552,0.598,0.353,0.75,26.8,4.7,6.6
151,Nijel Pack,JR,G,Miami (FL),25,812,64,89,24,7,44,26,333,0.4,0.436,0.357,0.765,14.4,1.7,2.3
152,Dennis Parker Jr.,FR,G,NC State,29,447,93,11,21,7,19,33,135,0.443,0.513,0.308,0.538,14.3,1.1,2.1
153,Breon Pass,JR,G,NC State,31,165,14,10,5,2,7,12,40,0.441,0.526,0.333,0.625,9.5,0.3,0.4
154,Fred Payne,FR,G,Boston College,5,25,4,3,1,0,1,2,8,0.273,0.375,0,1,8.9,0,-8.8
155,Zan Payne,SR,G,Louisville,23,175,31,4,5,0,2,19,15,0.333,0.333,0.333,0.286,5.7,0.2,0
156,Sean Pedulla,JR,G,Virginia Tech,32,1026,136,148,37,3,104,71,526,0.424,0.49,0.325,0.801,18.1,3,4.4
157,Wooga Poplar,JR,G,Miami (FL),29,902,139,61,23,9,54,60,379,0.426,0.47,0.385,0.864,15.1,2.3,2.8
158,Quinten Post,SR,F,Boston College,35,1115,284,100,30,61,86,100,595,0.514,0.544,0.431,0.821,25.6,5.1,9.6
159,Mylyjael Poteat,SR,F,Virginia Tech,34,494,119,24,9,8,29,65,219,0.644,0.644,,0.671,20.9,2.2,4.2
160,TJ Power,FR,F,Duke,26,181,19,5,5,3,4,13,55,0.333,0.222,0.357,0.857,10.8,0.5,2.2
161,Tyrese Proctor,SO,G,Duke,32,974,96,118,22,3,40,52,335,0.423,0.521,0.352,0.755,14.4,3.3,5.4
162,Brandon Rechsteiner,FR,G,Virginia Tech,26,239,18,33,4,0,18,16,47,0.372,0.7,0.273,0.75,6.8,0.2,-1.8
163,Christian Reeves,SO,C,Duke,3,16,5,0,0,1,2,3,5,0.667,0.667,,0.5,10.2,0,-3.8
164,Kowacie Reeves,JR,G,Georgia Tech,32,922,126,28,16,16,37,41,313,0.417,0.45,0.383,0.84,12.7,1.7,2.6
165,Efton Reid,JR,C,Wake Forest,28,774,220,44,18,36,44,91,269,0.546,0.599,0.281,0.842,19.5,3.2,5.8
166,Vincent Ricchiuti,FR,F,Wake Forest,6,6,0,0,0,0,0,0,6,0.5,,0.5,,37.7,0,20.9
167,MJ Rice,SO,G,NC State,9,79,17,1,2,0,6,7,37,0.484,0.667,0.231,0.444,14.9,0.1,-2.8
168,Jeremy Roach,SR,G,Duke,35,1144,88,114,39,5,49,75,489,0.468,0.489,0.429,0.844,18.3,5,7.2
169,Jakai Robinson,SO,G,Miami (FL),17,122,18,5,3,2,3,13,17,0.368,0.462,0.167,0.222,4.6,0.1,-2.8
170,Andrew Rohde,SO,G,Virginia,33,830,60,90,16,2,36,26,141,0.293,0.347,0.257,0.438,5.4,0.5,-2.9
171,Julian Roper II,JR,G,Notre Dame,31,707,125,20,29,5,28,60,168,0.384,0.432,0.337,0.483,10.2,1.3,1
172,Ernest Ross,JR,F,NC State,14,48,6,0,1,2,1,8,4,0.182,0.667,0,,-3.1,-0.1,-10.8
173,Niko Ruffin,JR,G,Syracuse,2,4,1,0,0,0,0,0,3,0.5,,0.5,,30.4,0,-19
174,Cormac Ryan,SR,G,North Carolina,36,1091,102,44,25,15,42,87,414,0.382,0.431,0.354,0.874,12.2,3.3,4.5
175,Ibrahima Sacko,FR,F,Georgia Tech,20,227,53,4,11,4,11,26,43,0.474,0.583,0.286,0.3,10.7,0.3,1.1
176,Hunter Sallis,JR,G,Wake Forest,34,1204,138,86,37,19,65,62,613,0.487,0.542,0.405,0.783,20.6,4.8,7.1
177,Marcos San Miguel,FR,G,Georgia Tech,1,2,1,0,0,0,1,0,0,0,0,0,,-52.5,-0.1,-65
178,Tony Sanders Jr.,SR,G,Notre Dame,7,15,1,0,0,0,0,1,6,0.333,,0.333,,9.7,0,-2.4
179,Ian Schieffelin,JR,F,Clemson,36,989,340,80,21,18,45,95,365,0.564,0.588,0.469,0.731,22.5,4.9,8.8
180,Braeden Shrewsberry,FR,G,Notre Dame,33,934,82,29,16,1,38,31,336,0.398,0.468,0.371,0.824,11.8,2,1.8
181,Jason Simpson,JR,G,Florida State,1,0,0,0,0,0,0,0,0,,,,,,0,-6.7
182,Jordan Snell,SO,G,NC State,6,7,1,0,0,0,0,1,0,0,0,,,-6.4,0,-12.7
183,Ethan Soares Rodriguez,FR,G,Boston College,1,1,0,0,0,0,0,0,0,,,,,0,0,-7
184,Isaac Spainhour,JR,G,Florida State,3,5,1,1,1,0,1,0,2,0.333,1,0,,12.6,0,-4.5
185,Primo Spears,JR,G,Florida State,24,545,38,51,29,0,46,32,254,0.392,0.435,0.267,0.765,13,0.5,0.3
186,JJ Starling,SO,G,Syracuse,32,1102,103,60,27,6,55,42,426,0.458,0.536,0.324,0.714,12.6,1.8,0.1
187,Vason Stevenson,SO,F,Pittsburgh,2,3,1,0,0,0,0,0,0,,,,0,-9.8,0,-17.3
188,Sean Stewart,FR,F,Duke,33,275,105,7,17,16,13,51,87,0.571,0.571,,0.536,22.5,1.4,5.5
189,Elijah Strong,FR,F,Boston College,19,129,13,3,1,0,4,13,52,0.525,0.6,0.3,0.5,13.2,0.3,-0.8
190,Kyle Sturdivant,SR,G,Georgia Tech,32,663,67,91,18,3,46,48,283,0.413,0.437,0.385,0.868,16.5,1.8,3.3
191,Jayden Taylor,JR,G,NC State,41,1119,146,55,47,19,63,73,458,0.413,0.465,0.364,0.755,15.7,3.1,4.2
192,Justin Taylor,SO,G,Syracuse,32,742,127,31,23,8,27,38,159,0.352,0.405,0.301,0.645,8.1,0.7,-0.6
193,LJ Thomas,SO,G,NC State,12,90,13,10,5,0,1,11,31,0.4,0.333,0.571,0.636,17.2,0.4,5.4
194,Max Thorpe,JR,G,Florida State,3,4,0,0,0,0,0,0,0,,,,,0,0,-5.4
195,JJ Traynor,SR,F,Louisville,8,204,37,1,2,4,8,18,81,0.516,0.578,0.368,0.5,14.6,0.4,0.3
196,Seth Trimble,SO,G,North Carolina,35,599,74,32,13,7,22,42,181,0.47,0.485,0.419,0.667,12.1,1.8,4.4
197,Will Underwood,FR,G,Wake Forest,6,6,2,0,0,0,0,0,0,0,0,,,-1.9,0,-9.4
198,Conner Venable,FR,G,Virginia Tech,4,4,1,0,0,0,0,0,0,0,0,0,0,-28.1,-0.1,-41.7
199,Alex Wade,JR,G,Notre Dame,8,27,1,3,2,0,2,2,2,0,0,,1,2.8,0,-4.4
200,Bryce Walker,JR,G,Virginia,7,15,1,1,0,0,0,0,4,0.333,0,0.5,0.5,11,0,-1.9
201,Michael Ward,SO,G,Virginia Tech,3,2,0,0,0,0,0,0,0,0,,0,,-22.2,0,-27.8
202,Jalen Warley,JR,G,Florida State,33,796,86,92,42,10,36,87,247,0.424,0.434,0.143,0.725,14.3,1.9,2.2
203,Jalen Washington,SO,F,North Carolina,37,308,95,7,3,21,14,51,143,0.701,0.742,0.533,0.643,24.8,1.8,8.9
204,Jamir Watkins,JR,F,Florida State,33,928,199,91,64,26,84,92,514,0.457,0.5,0.344,0.795,24.2,3.9,9.1
205,Christian Watson,SO,G,Miami (FL),24,304,37,18,4,0,9,13,66,0.373,0.5,0.241,0.625,7.8,0.4,-1.8
206,Patrick Wessler,FR,C,Virginia Tech,13,50,19,2,1,4,2,10,12,0.385,0.417,0,0.5,14.9,0.1,-0.6
207,Tre White,SO,G,Louisville,29,907,170,39,24,12,53,66,357,0.456,0.515,0.299,0.752,15,1.7,1.8
208,Chauncey Wiggins,SO,F,Clemson,36,639,76,33,6,10,26,46,196,0.442,0.528,0.349,0.714,11,1.2,1.9
209,Benny Williams,JR,F,Syracuse,18,307,71,22,17,16,21,34,97,0.4,0.508,0.206,0.538,13.7,0.5,2.7
210,Curtis Williams,FR,G,Louisville,32,564,42,20,12,2,26,24,170,0.317,0.373,0.287,0.714,5.9,-0.2,-3.8
211,Jae'lyn Withers,SR,F,North Carolina,37,459,133,21,16,18,25,53,156,0.535,0.62,0.2,0.78,18.6,2,6.8
212,Paxson Wojcik,SR,G,North Carolina,32,267,32,13,3,0,10,26,51,0.34,0.529,0.233,0.706,5.8,0.5,0.2
