Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
35;Nicolas Batum;PF;35;TOT;60;38;25.5;1.9;4.3;0.453;1.2;3.1;0.395;0.7;1.2;0.606;0.596;0.3;0.4;0.714;1.2;3;4.1;2.1;0.8;0.6;0.7;1.8;5.3
35;Nicolas Batum;PF;35;LAC;3;0;18;1;2.7;0.375;0.7;2.3;0.286;0.3;0.3;1;0.5;0;0;0;0;2.3;2.3;1.7;1;1.3;0.3;1.7;2.7
35;Nicolas Batum;PF;35;PHI;57;38;25.9;2;4.4;0.456;1.2;3.1;0.399;0.7;1.2;0.6;0.599;0.3;0.4;0.714;1.2;3;4.2;2.2;0.8;0.6;0.7;1.8;5.5
36;Darius Bazley;PF;23;TOT;9;0;16.9;2;3.3;0.6;0.2;0.9;0.25;1.8;2.4;0.727;0.633;1.1;1.3;0.833;0.9;2.2;3.1;0.8;0.7;0.8;0.9;0.3;5.3
36;Darius Bazley;PF;23;PHI;3;0;3.3;0;0.3;0;0;0;0;0;0.3;0;0;0;0;0;0;0.3;0.3;0.7;0;0;0.3;0;0
36;Darius Bazley;PF;23;UTA;6;0;23.7;3;4.8;0.621;0.3;1.3;0.25;2.7;3.5;0.762;0.655;1.7;2;0.833;1.3;3.2;4.5;0.8;1;1.2;1.2;0.5;8
37;Bradley Beal;SG;30;PHO;53;53;33.3;7.1;13.9;0.513;1.9;4.4;0.43;5.2;9.4;0.552;0.582;2.1;2.5;0.813;1;3.4;4.4;5;1;0.5;2.5;2.4;18.2
38;Malik Beasley;SG;27;MIL;79;77;29.6;4.1;9.1;0.443;2.8;6.9;0.413;1.2;2.3;0.533;0.598;0.3;0.4;0.714;0.5;3.2;3.7;1.4;0.7;0.1;0.7;2;11.3
39;MarJon Beauchamp;SF;23;MIL;48;1;12.7;1.7;3.5;0.488;0.6;1.6;0.4;1.1;1.9;0.56;0.578;0.4;0.6;0.679;0.5;1.6;2.1;0.6;0.3;0.1;0.6;1.1;4.4
40;Jules Bernard;SG;24;WAS;19;0;7.8;1.5;3.4;0.453;0.6;1.5;0.379;0.9;1.8;0.514;0.539;0.3;0.5;0.556;0.5;0.8;1.4;0.8;0.2;0.1;0.4;0.7;3.9
41;D?vis Bert?ns;PF;31;TOT;43;1;15.7;2.1;5.4;0.393;1.8;4.7;0.38;0.4;0.8;0.471;0.556;0.7;0.8;0.909;0.2;1.2;1.4;0.8;0.6;0.3;0.4;1.3;6.7
41;D?vis Bert?ns;PF;31;OKC;15;0;6.1;0.7;1.7;0.385;0.7;1.6;0.417;0;0.1;0;0.577;0.9;1;0.933;0.1;0.5;0.7;0.6;0.2;0.2;0.1;0.7;2.9
41;D?vis Bert?ns;PF;31;CHO;28;1;20.8;2.9;7.4;0.394;2.4;6.3;0.375;0.6;1.1;0.5;0.553;0.6;0.6;0.889;0.3;1.6;1.8;0.9;0.8;0.3;0.6;1.6;8.8
42;Patrick Beverley;PG;35;TOT;73;13;20;2.2;5.2;0.417;0.8;2.5;0.337;1.3;2.7;0.49;0.497;1;1.2;0.822;0.7;2.6;3.3;2.9;0.6;0.4;0.9;1.8;6.2
42;Patrick Beverley;PG;35;PHI;47;5;19.6;2.2;5.1;0.432;0.7;2.3;0.321;1.5;2.8;0.523;0.504;1.1;1.3;0.81;0.6;2.4;3.1;3.1;0.5;0.4;1;1.8;6.3
42;Patrick Beverley;PG;35;MIL;26;8;20.9;2.1;5.3;0.391;1;2.8;0.361;1.1;2.5;0.424;0.486;0.9;1;0.852;0.7;2.9;3.6;2.6;0.7;0.5;0.6;1.7;6
43;Saddiq Bey;SF;24;ATL;63;51;32.7;4.6;11.1;0.416;1.8;5.7;0.316;2.8;5.4;0.522;0.497;2.7;3.2;0.837;2.7;3.9;6.5;1.5;0.8;0.2;0.9;1.4;13.7
44;Goga Bitadze;C;24;ORL;62;33;15.4;2;3.4;0.603;0;0.2;0.143;2;3.1;0.636;0.608;0.9;1.4;0.655;1.8;2.9;4.6;1.3;0.5;1.2;0.7;1.7;5
45;Onuralp Bitim;SG;24;CHI;23;1;11.7;1.4;3.7;0.381;0.5;1.9;0.273;0.9;1.7;0.5;0.452;0.2;0.2;0.8;0.3;1.1;1.4;0.6;0.1;0.1;0.4;1;3.5
46;Bismack Biyombo;C;31;TOT;40;27;19.8;1.9;3.3;0.565;0;0;0;1.9;3.3;0.565;0.565;0.7;1.4;0.481;1.6;3.7;5.2;1.3;0.3;0.9;1.1;2.2;4.4
46;Bismack Biyombo;C;31;MEM;30;27;23.9;2.2;4;0.563;0;0;0;2.2;4;0.563;0.563;0.7;1.5;0.478;1.9;4.5;6.4;1.7;0.3;1.1;1.3;2.7;5.2
46;Bismack Biyombo;C;31;OKC;10;0;7.3;0.7;1.2;0.583;0;0;0;0.7;1.2;0.583;0.583;0.4;0.8;0.5;0.5;1.3;1.8;0.2;0.1;0.3;0.4;0.7;1.8
47;Anthony Black;PG;20;ORL;69;33;16.9;1.7;3.6;0.466;0.5;1.4;0.394;1.1;2.2;0.51;0.54;0.7;1.2;0.613;0.5;1.5;2;1.3;0.5;0.3;0.8;1.6;4.6
48;Leaky Black;SF;24;CHO;26;3;10.9;1;2;0.481;0.3;0.8;0.45;0.6;1.2;0.5;0.567;0.4;0.6;0.667;0.3;1.5;1.8;0.9;0.3;0.4;0.2;0.7;2.7
49;Buddy Boeheim;SF;24;DET;10;0;8.4;0.9;2.9;0.31;0.8;2.5;0.32;0.1;0.4;0.25;0.448;0.8;1;0.8;0.3;0.7;1;0.3;0;0.1;0;0.5;3.4
50;Bogdan Bogdanovi?;SG;31;ATL;79;33;30.4;6;13.9;0.428;3;8.1;0.374;2.9;5.8;0.503;0.537;1.9;2.1;0.921;0.7;2.8;3.4;3.1;1.2;0.3;1.4;2.3;16.9
51;Bojan Bogdanovi?;SF-PF;34;TOT;57;27;25.9;5.4;11.9;0.454;2.3;5.9;0.398;3.1;6.1;0.507;0.551;2.1;2.6;0.785;0.4;2.3;2.7;1.7;0.5;0.1;1.8;1.7;15.2
51;Bojan Bogdanovi?;PF;34;DET;28;27;32.9;7.1;15.2;0.468;3.1;7.4;0.415;4;7.8;0.518;0.569;2.9;3.7;0.779;0.5;2.9;3.4;2.5;0.8;0.1;2.3;2;20.2
51;Bojan Bogdanovi?;SF;34;NYK;29;0;19.2;3.8;8.8;0.43;1.6;4.4;0.37;2.2;4.4;0.488;0.521;1.2;1.6;0.8;0.3;1.7;2;0.9;0.2;0;1.3;1.3;10.4
52;Bol Bol;PF;24;PHO;43;0;10.9;2.2;3.5;0.616;0.5;1.2;0.423;1.7;2.3;0.717;0.689;0.3;0.4;0.789;0.7;2.4;3.2;0.4;0.2;0.6;0.4;1;5.2
53;Marques Bolden;C;25;TOT;11;2;11;1.5;2.3;0.68;0;0.1;0;1.5;2.2;0.708;0.68;0.3;0.4;0.75;0.9;2.2;3.1;0.4;0.3;0.6;0.3;0.9;3.4
53;Marques Bolden;C;25;MIL;2;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0.5;0
53;Marques Bolden;C;25;CHO;9;2;13.1;1.9;2.8;0.68;0;0.1;0;1.9;2.7;0.708;0.68;0.3;0.4;0.75;1.1;2.4;3.6;0.4;0.3;0.8;0.3;1;4.1
54;Devin Booker;PG;27;PHO;68;68;36;9.4;19.2;0.492;2.2;6.1;0.364;7.2;13;0.552;0.55;6;6.7;0.886;0.8;3.7;4.5;6.9;0.9;0.4;2.6;3;27.1
55;Brandon Boston Jr.;SF;22;LAC;32;0;10.8;2;5;0.404;0.4;1.6;0.269;1.6;3.4;0.468;0.447;0.7;1;0.697;0.6;1;1.6;0.4;0.3;0.3;0.8;1.3;5.2
56;Chris Boucher;PF;31;TOR;50;0;14.1;2.2;4.3;0.507;0.6;1.9;0.33;1.6;2.5;0.642;0.578;1.4;1.8;0.772;1.2;2.9;4.1;0.5;0.3;0.5;0.6;1.4;6.4
57;James Bouknight;SG;23;CHO;14;0;5.8;1.3;2.9;0.439;0.9;2.1;0.433;0.4;0.8;0.455;0.598;0.1;0.1;0.5;0.1;0.6;0.6;0.4;0.1;0.1;0.1;0.2;3.6
58;Jamaree Bouyea;PG;24;TOT;9;0;10.6;1.1;3.1;0.357;0.1;1;0.111;1;2.1;0.474;0.375;0;0;0;0.3;1.8;2.1;1.2;0.1;0;1;1.1;2.3
58;Jamaree Bouyea;PG;24;POR;6;0;9.5;0.8;3.5;0.238;0;1.3;0;0.8;2.2;0.385;0.238;0;0;0;0.3;1.3;1.7;1.3;0;0;1.3;0.5;1.7
58;Jamaree Bouyea;PG;24;SAS;3;0;12.7;1.7;2.3;0.714;0.3;0.3;1;1.3;2;0.667;0.786;0;0;0;0.3;2.7;3;1;0.3;0;0.3;2.3;3.7
59;Malaki Branham;PG;20;SAS;75;29;21.3;3.6;8.4;0.432;1.2;3.6;0.347;2.4;4.8;0.494;0.506;0.7;0.8;0.873;0.4;1.6;2;2.1;0.4;0.1;1.2;1.3;9.2
60;Christian Braun;SG;22;DEN;82;4;20.2;2.7;5.9;0.46;0.8;2;0.384;1.9;3.9;0.498;0.525;1.1;1.6;0.694;1;2.8;3.7;1.6;0.5;0.4;0.7;1.7;7.3
61;Mikal Bridges;SF;27;BRK;82;82;34.8;6.9;15.8;0.436;2.7;7.2;0.372;4.2;8.6;0.49;0.521;3.1;3.9;0.814;0.8;3.7;4.5;3.6;1;0.4;2;1.4;19.6
62;Miles Bridges;SF;25;CHO;69;67;37.4;8.1;17.5;0.462;2.3;6.5;0.349;5.8;11;0.529;0.527;2.5;3.1;0.825;1;6.3;7.3;3.3;0.9;0.5;2;1.7;21
63;Oshae Brissett;SF;25;BOS;55;1;11.5;1.2;2.8;0.444;0.3;1;0.273;1;1.8;0.541;0.493;0.9;1.5;0.602;1.1;1.8;2.9;0.8;0.3;0.1;0.4;1;3.7
64;Izaiah Brockington;PG;24;NOP;1;0;3;2;5;0.4;0;1;0;2;4;0.5;0.4;0;0;0;1;1;2;0;0;0;0;0;4
65;Malcolm Brogdon;PG;31;POR;39;25;28.7;5.6;12.7;0.44;2.1;5.1;0.412;3.5;7.6;0.458;0.522;2.4;3;0.819;0.7;3.1;3.8;5.5;0.7;0.2;1.5;1.5;15.7
66;Armoni Brooks;PG;25;BRK;10;0;10.4;1.5;4.6;0.326;1.1;3.2;0.344;0.4;1.4;0.286;0.446;0.1;0.2;0.5;0.7;1.1;1.8;0.5;0.1;0.1;0.3;0.3;4.2
67;Dillon Brooks;SF;28;HOU;72;72;30.9;4.6;10.7;0.428;1.8;5.1;0.359;2.7;5.5;0.492;0.515;1.7;2;0.844;0.7;2.7;3.4;1.7;0.9;0.1;1.2;3.3;12.7
68;Bruce Brown;PG-SG;27;TOT;67;44;27.9;4.1;8.7;0.478;0.8;2.4;0.323;3.4;6.2;0.538;0.523;1.7;2.1;0.824;0.8;3.4;4.2;2.9;0.9;0.3;1.3;2.2;10.8
68;Bruce Brown;SG;27;IND;33;33;29.7;4.5;9.5;0.475;1;3.1;0.327;3.5;6.5;0.545;0.527;2;2.5;0.817;0.8;3.9;4.7;3;1.1;0.2;1.2;2.5;12.1
68;Bruce Brown;PG;27;TOR;34;11;26;3.8;7.9;0.481;0.6;1.9;0.317;3.2;6;0.532;0.519;1.5;1.8;0.833;0.8;3;3.8;2.7;0.7;0.3;1.3;2;9.6
69;Charlie Brown Jr.;SG;26;NYK;8;0;4.6;0.3;1.3;0.2;0.3;0.9;0.286;0;0.4;0;0.3;0;0;0;0.1;0.1;0.3;0;0;0.3;0.3;0.6;0.8
70;Greg Brown III;PF;22;DAL;6;0;6.7;0.8;1.8;0.455;0.2;0.5;0.333;0.7;1.3;0.5;0.5;0.7;1.5;0.444;0.5;1;1.5;0.7;0;0.7;0.7;0.8;2.5
71;Jaylen Brown;SF;27;BOS;70;70;33.5;9;17.9;0.499;2.1;5.9;0.354;6.9;12.1;0.57;0.557;3;4.3;0.703;1.2;4.3;5.5;3.6;1.2;0.5;2.4;2.6;23
72;Kendall Brown;SG;20;IND;15;0;4.2;0.5;1;0.533;0;0.1;0;0.5;0.9;0.615;0.533;0.3;0.5;0.625;0.2;0.1;0.3;0.3;0;0;0.1;0.6;1.4
73;Kobe Brown;PF;24;LAC;44;0;9;0.8;2;0.411;0.3;1.1;0.292;0.5;1;0.548;0.489;0;0;0.5;0.5;1;1.4;0.6;0.3;0.1;0.2;1.1;2
74;Moses Brown;C;24;POR;22;5;9.1;1.5;3;0.508;0;0;0;1.5;3;0.508;0.508;0.4;1.4;0.29;1.7;2.2;3.9;0.3;0.2;0.3;0.5;1.2;3.4
75;Troy Brown Jr.;SF;24;TOT;59;15;14;1.4;3.8;0.372;0.8;2.4;0.333;0.6;1.4;0.435;0.476;0.5;0.6;0.865;0.4;2;2.4;1;0.4;0.1;0.5;0.7;4.2
75;Troy Brown Jr.;SF;24;MIN;37;3;11.1;1.4;3.2;0.441;0.8;2.3;0.369;0.6;0.9;0.618;0.572;0.5;0.6;0.864;0.4;1.6;1.9;0.9;0.2;0.1;0.5;0.7;4.2
75;Troy Brown Jr.;SF;24;DET;22;12;19;1.5;4.9;0.296;0.7;2.6;0.281;0.7;2.3;0.314;0.37;0.6;0.7;0.867;0.5;2.8;3.3;1.1;0.7;0;0.5;0.7;4.2
76;Jalen Brunson;PG;27;NYK;77;77;35.4;10.3;21.4;0.479;2.7;6.8;0.401;7.5;14.6;0.516;0.543;5.5;6.5;0.847;0.6;3.1;3.6;6.7;0.9;0.2;2.4;1.9;28.7
77;Thomas Bryant;C;26;MIA;38;4;11.6;2.3;3.9;0.577;0.1;0.6;0.182;2.2;3.3;0.646;0.591;1.1;1.2;0.872;1.1;2.7;3.7;0.6;0.3;0.4;0.6;1.2;5.7
78;Kobe Bufkin;SG;20;ATL;17;0;11.5;2;5.4;0.37;0.5;2.4;0.225;1.5;3.1;0.481;0.418;0.2;0.5;0.5;0.4;1.6;1.9;1.6;0.4;0.3;0.6;1.2;4.8
79;Reggie Bullock;SF;32;HOU;44;0;9.5;0.8;1.9;0.415;0.6;1.5;0.403;0.2;0.3;0.467;0.579;0;0;1;0.1;1.5;1.7;0.3;0.3;0.1;0.2;0.7;2.2
80;Alec Burks;SG;32;TOT;66;1;18.4;3.2;8.6;0.369;1.9;5;0.376;1.3;3.6;0.36;0.478;2.2;2.5;0.868;0.4;1.9;2.3;1.3;0.4;0.2;0.7;1.1;10.4
80;Alec Burks;SG;32;DET;43;0;21;3.7;9.4;0.394;2.3;5.7;0.401;1.4;3.7;0.384;0.516;2.8;3.1;0.903;0.4;2.2;2.6;1.6;0.5;0.3;0.7;1.5;12.6
80;Alec Burks;SG;32;NYK;23;1;13.5;2.2;7.1;0.307;1.1;3.6;0.301;1.1;3.5;0.313;0.383;1;1.4;0.727;0.3;1.4;1.7;0.9;0.3;0;0.7;0.5;6.5
81;Jared Butler;SG;23;WAS;40;0;14.2;2.5;5;0.488;0.6;2;0.308;1.9;3.1;0.602;0.547;0.8;0.9;0.861;0.2;1.2;1.5;3.2;0.7;0.2;1.3;1.5;6.3
82;Jimmy Butler;PF;34;MIA;60;60;34;6.6;13.2;0.499;1;2.4;0.414;5.6;10.8;0.519;0.537;6.6;7.7;0.858;1.8;3.6;5.3;5;1.3;0.3;1.7;1.1;20.8
83;Jamal Cain;PF;24;MIA;26;1;10;1.3;3;0.43;0.4;1.2;0.355;0.9;1.8;0.479;0.5;0.7;0.9;0.783;0.6;0.8;1.4;0.4;0.4;0.2;0.3;0.8;3.7
84;Kentavious Caldwell-Pope;SG;30;DEN;76;76;31.6;3.6;7.7;0.46;1.6;4.1;0.406;1.9;3.7;0.52;0.566;1.3;1.5;0.894;0.4;2;2.4;2.4;1.3;0.6;1;2;10.1
85;Toumani Camara;PF;23;POR;70;49;24.8;2.8;6.3;0.45;0.8;2.5;0.337;2;3.8;0.523;0.516;1.1;1.4;0.758;2;2.9;4.9;1.2;0.9;0.5;1.2;2.5;7.5
86;Clint Capela;C;29;ATL;73;73;25.8;4.8;8.5;0.571;0;0;0;4.8;8.5;0.572;0.571;1.8;2.8;0.631;4.6;6;10.6;1.2;0.6;1.5;1;2.2;11.5
87;Jevon Carter;PG;28;CHI;72;0;13.9;1.9;5.1;0.378;1.1;3.3;0.329;0.8;1.8;0.466;0.484;0.1;0.1;0.571;0.2;0.7;0.8;1.3;0.5;0.2;0.5;1;5
88;Wendell Carter Jr.;C;24;ORL;55;48;25.6;4.1;7.7;0.525;1.2;3.1;0.374;2.9;4.6;0.626;0.6;1.7;2.4;0.694;2;4.9;6.9;1.7;0.6;0.5;1.2;2.2;11
